class,fire_angle,init_veloc,alcance,alt_max,veloc,rcsmed,rcsMSD,beta
MH,57.46048150761916,257.5337911764795,2787.555542758299,1529.6965132706396,86.83599702015887,-22.14329816822916,5.905185188259715,573.0449462241487
MH,58.41264229970944,246.1242585798312,2982.673810620264,1550.544496997042,86.51072009427305,-27.108105324416226,32.96605577369613,1194.004165707018
MH,58.1881174938617,246.57308787212253,3038.138335754488,1532.6703880022158,87.27714762436247,-27.586383979172165,32.96605577369614,1214.7665282499302
MH,58.37341066062673,244.05757192924847,3046.181323797418,1534.7090866809472,88.33542792566433,-23.258183226493752,27.915387514809375,1249.6231665594364
MH,58.62584272005548,239.1895704651168,3044.7562876178204,1532.0769615625902,87.10890384795945,-15.881424185494714,26.660500697855102,1269.676216776898
MH,58.62584272005548,239.1895704651168,3044.7562876178204,1532.0769615625902,87.10890384795945,-15.881424185494714,26.660500697855102,1269.676216776898
UN,-56.133229203657386,161.5492393974097,3892.819222686645,1056.7548626218825,161.0191501551948,-18.830597782339886,0.1357242477854967,1356.136295575751
UN,-56.133229203657386,161.5492393974097,3892.819222686645,1056.7548626218825,161.0191501551948,-18.830597782339886,0.1357242477854967,1356.136295575751
MH,58.81839825812256,235.3775805372565,3081.373916636688,1531.9377121479226,90.7317386490546,-14.266123515295224,7.842873100794893,1414.0851078638746
MH,58.92147527681642,234.23223256408647,3086.6881460653626,1532.6136509591622,90.74412777941922,-23.253726704255573,7.842873100794893,1480.067949975807
MH,58.89406149996054,232.9477332650284,3103.1237844071816,1533.2543645868857,93.03798537164856,-20.61546887316094,5.930159823379906,1487.6839411906635
MH,58.71205266573215,236.89574360621012,3086.576827929988,1532.5288932992837,88.815904725794,-10.198555770470538,26.66050069785511,1538.1203144837011
MH,58.88450935970419,233.98636223928497,3101.4981749262765,1532.2496478920411,92.86425089284046,-19.940223956867072,5.930159823379906,1594.5228863283985
MH,58.86589137272479,232.6978506004681,3113.6205321828907,1533.1578482843554,90.96883998881938,-11.657482384499716,8.443233403303248,1670.781764814962
MH,58.86589137272479,232.6978506004681,3113.6205321828907,1533.1578482843554,90.96883998881938,-11.657482384499716,8.443233403303248,1670.781764814962
MH,58.90245015392034,233.5368230163821,3115.905830572952,1533.7522089458892,89.74417210844825,-5.224381126953823,26.660500697855102,1708.3394308398983
MH,58.71740485712562,235.4060004986173,3106.5433917352875,1534.0053190733724,89.223090257738,-2.537686154972435,26.66050069785511,1736.8275105884395
MH,58.79557140216166,233.68896671345905,3126.8208872438213,1531.4985083515248,89.7510490447915,-15.113720334453529,26.660500697855102,1758.3068958852896
MH,58.836068359855794,233.0570866457693,3121.508074020939,1531.0132847448713,89.73337430453964,-5.977952703873166,26.66050069785511,1778.0119219285953
MH,59.04653200345897,230.0371904415315,3124.0674619553006,1531.111307035018,96.80982519770106,-21.133158330714988,5.905185188259715,1837.4202720537887
MH,58.80767670028269,233.6061787177396,3121.866435917907,1532.2635444595169,91.74341518950555,-15.52701537869702,7.842873100794893,1976.6934585399536
MH,58.78210804512816,232.5106117087579,3145.7714159248294,1531.7481148368536,91.75636305968098,-5.61483746670885,19.316876330860627,2133.559993630262
UN,2.164540566848868,2599070523095.2983,1044711031.077629,3398.114258314114,197.6297671317791,-38.27584733538997,8.205038758856404,2169.236100106061
UN,1.2783383139761209,1220990447478.1704,21497684.47700044,3375.416321548051,215.88112798175692,-37.43589035657584,8.205038758856404,2301.3628242158475
MH,58.750765024168494,232.68878785359075,3150.729528204248,1533.2725292336129,92.68585744344234,-11.436154797466129,8.443233403303248,2334.8554485478426
MH,58.87133616116532,230.52162981562896,3171.4623863015963,1532.3194556765563,92.74846863633636,-3.5140272655301343,19.316876330860627,2383.596770254671
MH,58.75814307322814,233.1945743252756,3130.913204632771,1529.8472793039866,90.88820544884922,-4.097468007972383,26.66050069785511,2388.496427158684
MH,58.75814307322814,233.1945743252756,3130.913204632771,1529.8472793039866,90.88820544884922,-4.097468007972383,26.66050069785511,2388.496427158684
MH,58.87229484016495,230.46529600259737,3154.7446746408286,1533.253850843104,93.54725499608256,-15.131269812755738,7.842873100794897,2423.8244819069714
MH,58.84487152380048,231.13252318805084,3166.6105793630613,1534.5006353442184,93.1877421845156,-12.127554075167613,7.842873100794895,2434.397821619529
MH,58.85216904345389,231.5776669529714,3156.008689248826,1533.9689218829649,92.0559746254097,-6.671342967691496,26.660500697855102,2437.3079344032653
MH,58.85216904345389,231.5776669529714,3156.008689248826,1533.9689218829649,92.0559746254097,-6.671342967691496,26.660500697855102,2437.3079344032653
MH,59.035324817486725,228.4411177455221,3166.45830864709,1533.4805988362875,95.44052711389942,-24.605367232039097,7.139644804909551,2513.6588954098893
MH,58.92535000480186,229.9574527978113,3180.912875060441,1533.7194775417752,91.83826235303424,-17.80745314023791,26.660500697855102,2524.277121981981
MH,59.09109799673424,227.22503590092663,3196.379554881103,1532.097736171612,93.68921688480398,-6.006959404925389,19.316876330860627,2700.411138545199
MH,59.00313624111512,228.9188349740773,3176.0952171076624,1532.9533830032,94.02587219086811,-19.240390623500293,7.842873100794893,2738.406465370894
MH,59.00313624111512,228.9188349740773,3176.0952171076624,1532.9533830032,94.02587219086811,-19.240390623500293,7.842873100794893,2738.406465370894
MH,59.02399827908396,227.78924118803795,3200.305592499141,1532.7510527976085,92.55620963942276,-14.82049840959944,26.660500697855102,2848.313784842097
UN,0.3032926688019891,27098415619570.188,25196294.945900835,3452.99286217412,232.489810033746,-30.36921008653519,8.2050387588564,2867.784121022792
